apartmentid,name,cluster,role,baseline_adapter,baseline_verdict,baseline_unit_count,evidence,post_fix_gate
4579,Laurel Crossing,dead_entry_salvage,affected,entrata,DEAD_URL,5,Six properties were stamped DEAD_URL despite 107 priced physical units recovered from bounded sub-routes.,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
12566,High Point Crossing,dead_entry_salvage,affected,g5,DEAD_URL,7,Six properties were stamped DEAD_URL despite 107 priced physical units recovered from bounded sub-routes.,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
36168,Bennington Hills,dead_entry_salvage,affected,encoreskyline_template,DEAD_URL,3,Six properties were stamped DEAD_URL despite 107 priced physical units recovered from bounded sub-routes.,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
46108,Stratford Mill,dead_entry_salvage,affected,realpage_oll,DEAD_URL,68,Six properties were stamped DEAD_URL despite 107 priced physical units recovered from bounded sub-routes.,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
218893,Volta at Voyager I,dead_entry_salvage,affected,repli360,DEAD_URL,14,Six properties were stamped DEAD_URL despite 107 priced physical units recovered from bounded sub-routes.,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
226992,Forest Ridge,dead_entry_salvage,affected,knock,DEAD_URL,10,Six properties were stamped DEAD_URL despite 107 priced physical units recovered from bounded sub-routes.,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
1084,Black Hawk,timeout_diagnostics,affected,UNATTRIBUTED,FAILED_NO_DATA,0,"Seven timed-out properties lost final-count, canonical-identity, raw-source, or provenance diagnostics even after an extraction checkpoint existed.","Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
27165,Regatta Apartments Homes,timeout_diagnostics,affected,UNATTRIBUTED,FAILED_NO_DATA,0,"Seven timed-out properties lost final-count, canonical-identity, raw-source, or provenance diagnostics even after an extraction checkpoint existed.","Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
32097,Clemmons Trace Village,timeout_diagnostics,affected,UNATTRIBUTED,SUCCESS_PLAN_LEVEL,0,"Seven timed-out properties lost final-count, canonical-identity, raw-source, or provenance diagnostics even after an extraction checkpoint existed.","Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
52697,Clearview,timeout_diagnostics,affected,UNATTRIBUTED,FAILED_NO_DATA,0,"Seven timed-out properties lost final-count, canonical-identity, raw-source, or provenance diagnostics even after an extraction checkpoint existed.","Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
70238,Grace Apartments,timeout_diagnostics,affected,UNATTRIBUTED,SUCCESS_PLAN_LEVEL,0,"Seven timed-out properties lost final-count, canonical-identity, raw-source, or provenance diagnostics even after an extraction checkpoint existed.","Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
272772,Hawkeye Village,timeout_diagnostics,affected,UNATTRIBUTED,FAILED_NO_DATA,0,"Seven timed-out properties lost final-count, canonical-identity, raw-source, or provenance diagnostics even after an extraction checkpoint existed.","Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
274909,The Sinclair II,timeout_diagnostics,affected,UNATTRIBUTED,FAILED_NO_DATA,0,"Seven timed-out properties lost final-count, canonical-identity, raw-source, or provenance diagnostics even after an extraction checkpoint existed.","Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
14943,Estates at Eagle's Pointe,managebuilding_archive,control,NOT_IN_1000_RUN,NOT_IN_1000_RUN,,Town Center emitted 17 unit lineage hashes without archiving the actual ManageBuilding response; the two controls guard property-bound routing.,"Actual public rental-index bytes and lineage are archived, and neither control admits Town Center or sibling-community inventory."
74528,Grand Oaks,managebuilding_archive,control,NOT_IN_1000_RUN,NOT_IN_1000_RUN,,Town Center emitted 17 unit lineage hashes without archiving the actual ManageBuilding response; the two controls guard property-bound routing.,"Actual public rental-index bytes and lineage are archived, and neither control admits Town Center or sibling-community inventory."
280355,Town Center Apartments,managebuilding_archive,affected,squarespace_nopms,SUCCESS,17,Town Center emitted 17 unit lineage hashes without archiving the actual ManageBuilding response; the two controls guard property-bound routing.,"Actual public rental-index bytes and lineage are archived, and neither control admits Town Center or sibling-community inventory."
